Rank,Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Channel name
221,AdmiralBulldog,629811270,140820,14209,4472,780238,21306,TRUE,TRUE,English,AdmiralBulldog
222,Sequisha,629036205,239400,58982,2627,371547,22595,TRUE,FALSE,English,Sequisha
223,singsing,618556710,187860,22946,3292,628426,18076,TRUE,TRUE,English,singsing
224,MYM_ALKAPONE,617144985,126150,17885,4892,1112534,96108,TRUE,FALSE,Spanish,MYM_ALKAPONE
225,obm1025,613438335,133320,17951,4601,815428,189718,TRUE,TRUE,Korean,오킹 (obm1025)
226,mount,612704280,163635,23211,3744,803666,191586,TRUE,FALSE,Portuguese,mount
227,Robleis,611765490,73275,82090,8348,4637497,1797321,TRUE,FALSE,Spanish,Robleis
228,A_Seagull,611034345,87300,148816,6999,1156610,162774,TRUE,TRUE,English,A_Seagull
229,wtcN,610353960,48330,114111,12628,2801989,228952,TRUE,TRUE,Turkish,wtcN
230,nl_Kripp,610238145,132045,23726,4621,1477182,78039,TRUE,FALSE,English,nl_Kripp
231,aXoZer,609853485,112680,522452,5412,2622102,1230211,TRUE,FALSE,Spanish,aXoZer
232,Jackeyy,609728565,76380,28978,7982,356304,209898,TRUE,FALSE,Thai,Jackeyy
233,Tubbo,608808900,34560,87600,17615,4971551,303040,TRUE,FALSE,English,Tubbo
234,xRohat,605861880,107595,29526,5630,663245,281832,TRUE,FALSE,German,xRohat
235,lilpaaaaaa,601055115,77235,38159,7782,236116,196150,TRUE,FALSE,Korean,릴파_ (lilpaaaaaa)
236,n3koglai,599586195,9420,543743,63650,2413377,2105198,TRUE,TRUE,Russian,n3koglai
237,ClassyBeef,597610935,263355,6096,2269,267442,59170,FALSE,TRUE,English,ClassyBeef
238,runthefutmarket,597058380,97935,36826,6096,716278,188770,TRUE,FALSE,English,runthefutmarket
239,viichan6,593893290,84870,19281,6997,219236,185362,TRUE,TRUE,Korean,비챤_ (viichan6)
240,UberHaxorNova,593829870,155340,11994,3822,546250,43877,TRUE,FALSE,English,UberHaxorNova
241,Hype,592910115,61410,24905,9654,583114,114599,TRUE,TRUE,Turkish,Hype
242,VALORANT_BR,590921370,43125,150096,13702,534397,232106,TRUE,FALSE,Portuguese,VALORANT_BR
243,godjj,587899020,127095,12232,4625,364337,8076,TRUE,FALSE,Chinese,接接 (godjj)
244,Mande,582413940,164850,11424,3532,374530,208168,TRUE,FALSE,English,Mande
245,Echo_Esports,582331440,28035,163120,20771,208238,72067,TRUE,FALSE,English,Echo_Esports
246,HITBOXKING,581437755,157920,36918,3681,470132,237130,TRUE,FALSE,Spanish,HITBOXKING
247,Halo,579914520,32895,173368,17629,699177,310365,TRUE,FALSE,English,Halo
248,GamerBrother,578229180,49065,76709,11784,386292,330864,TRUE,FALSE,German,GamerBrother
249,Glorious_E,573587175,189480,41297,3027,215349,109408,TRUE,TRUE,English,Glorious_E
250,Northernlion,571785645,70455,13783,8115,590990,96757,TRUE,FALSE,English,Northernlion
251,vo_ine,571411650,60720,29435,9410,248310,212395,TRUE,FALSE,Korean,아이네_ (vo_ine)
252,dmf_kyochan,571112550,250395,16543,2280,223486,68423,TRUE,FALSE,Japanese,恭一郎 (dmf_kyochan)
253,CDawgVA,570846450,54180,31802,10536,892535,356486,TRUE,FALSE,English,CDawgVA
254,Gladd,569932035,203475,69521,2800,503421,53371,TRUE,FALSE,English,Gladd
255,Carreraaa,569809245,46425,43252,12273,2884366,1979617,TRUE,FALSE,Spanish,Carreraaa
256,paradeev1ch,568090995,39105,81966,14527,1257176,995545,TRUE,TRUE,Russian,paradeev1ch
257,supertf,566743695,141300,45184,4010,546265,153006,TRUE,FALSE,English,supertf
258,Shlorox,564885060,129765,21756,4353,401081,21468,TRUE,FALSE,German,Shlorox
259,lolpacifictw,563117790,37170,123097,15149,225733,37585,TRUE,FALSE,Chinese,lolpacifictw
260,Jolavanille,561891345,155625,16585,3610,367510,134486,TRUE,FALSE,French,Jolavanille
261,Carola,560514375,102540,69680,5466,1353565,675701,TRUE,FALSE,Spanish,Carola
262,ungespielt,556679820,134565,21914,4136,1440136,359591,TRUE,FALSE,German,ungespielt
263,Ray__C,555901800,178905,19450,3107,516489,103130,TRUE,FALSE,English,Ray__C
264,vysotzky,555774435,65925,50297,8430,330754,132258,TRUE,FALSE,Polish,vysotzky
265,Dota2RuHub,555172455,126180,110155,4399,961272,41686,TRUE,FALSE,Russian,Dota2RuHub
266,SuperBusS_,552484815,83550,39799,6612,242415,144877,TRUE,FALSE,Thai,SuperBusS_
267,s0mcs,551906460,100215,22043,5507,762303,360481,TRUE,FALSE,English,s0mcs
268,betboom_ru,551326380,26235,116495,21014,202787,132621,TRUE,FALSE,Russian,betboom_ru
269,TheRealMarzaa,547969410,124140,28340,4414,1174997,244133,TRUE,FALSE,Italian,TheRealMarzaa
270,Subroza,546940725,97650,16402,5601,880789,293779,TRUE,FALSE,English,Subroza
271,blusewilly_retry,546815865,112185,15889,4874,433215,21320,TRUE,FALSE,Chinese,餐餐自由配 (blusewilly_retry)
272,GTAWiseGuy,542014170,126450,14949,4286,324629,76519,TRUE,TRUE,English,GTAWiseGuy
273,zrush,541068780,147510,8229,3668,245605,23108,TRUE,TRUE,Chinese,嬌兔 (zrush)
274,Zoomaa,539159385,162255,30301,3322,280913,75842,TRUE,FALSE,English,Zoomaa
275,DeuceAce,535644900,110775,32930,4835,254919,59833,FALSE,TRUE,English,DeuceAce
